iter	Passed	Remaining
0	121	243168
1	179	179279
2	237	158222
3	294	146855
4	352	140501
5	408	135609
6	465	132657
7	523	130290
8	579	128229
9	636	126620
10	691	124994
11	745	123452
12	798	122064
13	852	120912
14	907	120043
15	963	119473
16	1019	118901
17	1073	118256
18	1129	117784
19	1186	117502
20	1243	117207
21	1300	116968
22	1357	116688
23	1412	116284
24	1469	116069
25	1524	115722
26	1579	115387
27	1636	115263
28	1692	115036
29	1747	114746
30	1804	114597
31	1860	114425
32	1917	114270
33	1974	114200
34	2031	114045
35	2088	113913
36	2144	113796
37	2200	113631
38	2257	113517
39	2314	113431
40	2372	113351
41	2429	113275
42	2485	113114
43	2542	113008
44	2598	112891
45	2653	112711
46	2707	112522
47	2763	112400
48	2821	112331
49	2879	112287
50	2937	112252
51	2993	112140
52	3051	112102
53	3107	111972
54	3163	111864
55	3218	111733
56	3273	111585
57	3330	111528
58	3388	111463
59	3443	111325
60	3498	111203
61	3555	111139
62	3611	111026
63	3668	110974
64	3723	110847
65	3779	110760
66	3836	110681
67	3892	110580
68	3950	110567
69	4008	110527
70	4066	110483
71	4122	110387
72	4180	110358
73	4237	110295
74	4295	110258
75	4352	110192
76	4407	110080
77	4462	109966
78	4519	109886
79	4575	109809
80	4631	109738
81	4688	109664
82	4743	109558
83	4797	109437
84	4853	109336
85	4908	109248
86	4964	109164
87	5021	109094
88	5075	108979
89	5131	108902
90	5188	108851
91	5244	108764
92	5299	108660
93	5357	108630
94	5413	108560
95	5470	108506
96	5527	108434
97	5583	108362
98	5641	108326
99	5700	108303
100	5758	108263
101	5815	108205
102	5873	108168
103	5929	108091
104	5986	108040
105	6042	107974
106	6099	107912
107	6157	107874
108	6215	107836
109	6272	107777
110	6329	107708
111	6386	107651
112	6443	107606
113	6500	107549
114	6558	107500
115	6614	107433
116	6671	107371
117	6727	107298
118	6784	107243
119	6842	107194
120	6900	107153
121	6958	107112
122	7015	107054
123	7073	107015
124	7133	106995
125	7192	106970
126	7249	106909
127	7307	106869
128	7364	106816
129	7420	106747
130	7479	106705
131	7536	106648
132	7593	106597
133	7651	106551
134	7708	106496
135	7766	106452
136	7825	106409
137	7883	106372
138	7942	106333
139	7999	106275
140	8057	106235
141	8115	106192
142	8174	106149
143	8232	106105
144	8291	106074
145	8349	106023
146	8406	105962
147	8463	105902
148	8521	105860
149	8579	105812
150	8635	105745
151	8693	105695
152	8751	105646
153	8808	105585
154	8865	105524
155	8921	105459
156	8979	105404
157	9037	105358
158	9094	105299
159	9152	105250
160	9209	105191
161	9265	105126
162	9324	105088
163	9381	105025
164	9440	104985
165	9497	104931
166	9554	104872
167	9613	104827
168	9671	104787
169	9730	104749
170	9788	104702
171	9846	104644
172	9902	104580
173	9959	104521
174	10017	104471
175	10073	104396
176	10129	104326
177	10185	104260
178	10241	104183
179	10297	104116
180	10353	104049
181	10411	103998
182	10469	103950
183	10527	103905
184	10584	103846
185	10642	103789
186	10699	103734
187	10757	103687
188	10814	103628
189	10873	103584
190	10930	103522
191	10987	103465
192	11045	103411
193	11101	103349
194	11158	103290
195	11217	103244
196	11274	103191
197	11331	103132
198	11388	103071
199	11446	103014
200	11503	102961
201	11562	102914
202	11619	102857
203	11676	102800
204	11734	102747
205	11792	102695
206	11851	102653
207	11910	102609
208	11967	102557
209	12026	102509
210	12083	102450
211	12139	102383
212	12196	102321
213	12252	102259
214	12310	102207
215	12367	102149
216	12426	102100
217	12485	102056
218	12542	102004
219	12601	101956
220	12660	101910
221	12717	101852
222	12775	101801
223	12833	101751
224	12891	101701
225	12950	101655
226	13009	101611
227	13067	101562
228	13125	101509
229	13181	101442
230	13240	101396
231	13298	101342
232	13355	101281
233	13413	101233
234	13471	101181
235	13528	101116
236	13586	101066
237	13643	101004
238	13701	100956
239	13760	100908
240	13818	100857
241	13875	100796
242	13932	100740
243	13989	100680
244	14046	100618
245	14105	100570
246	14163	100521
247	14220	100458
248	14276	100394
249	14332	100328
250	14388	100263
251	14446	100211
252	14505	100164
253	14562	100102
254	14620	100047
255	14677	99993
256	14735	99935
257	14792	99874
258	14849	99819
259	14907	99765
260	14965	99715
261	15022	99653
262	15078	99586
263	15136	99533
264	15192	99470
265	15251	99418
266	15309	99365
267	15366	99311
268	15425	99265
269	15483	99208
270	15542	99161
271	15599	99103
272	15658	99053
273	15717	99006
274	15775	98957
275	15833	98903
276	15891	98851
277	15949	98793
278	16008	98746
279	16065	98686
280	16124	98637
281	16181	98578
282	16240	98532
283	16299	98482
284	16358	98437
285	16416	98385
286	16473	98324
287	16532	98279
288	16590	98220
289	16647	98162
290	16706	98112
291	16763	98053
292	16819	97989
293	16877	97936
294	16935	97879
295	16993	97828
296	17049	97764
297	17107	97708
298	17165	97655
299	17223	97601
300	17281	97544
301	17338	97485
302	17397	97439
303	17456	97386
304	17512	97324
305	17569	97263
306	17627	97211
